,Unnamed: 0,French,English
0,0,partie,part
1,1,chercher,search
2,2,seulement,only
3,3,police,police
4,4,pensais,thought
5,5,aide,help
6,6,demande,request
7,8,mois,month
8,9,laisser,let
9,10,car,because
10,11,mettre,to put
11,12,aucun,no
12,13,eux,them
13,14,ville,city
14,15,chaque,each
15,16,parlé,speak
16,17,arrivé,come
17,18,devrait,should
18,19,bébé,baby
19,20,longtemps,long time
20,21,heures,hours
21,22,vont,will
22,23,pendant,while
23,24,revoir,meet again
24,25,place,square
25,26,parle,speak
26,27,compris,understood
27,28,savais,knew
28,29,étaient,were
29,30,attention,Warning
30,31,voici,here is
31,32,pourrais,could
32,33,affaire,case
33,34,donner,give
34,35,type,type
35,36,leurs,their
36,37,donné,given
37,38,corps,body
38,39,endroit,place
39,40,yeux,eyes
40,41,façon,way
41,42,écoute,listen
42,43,dont,whose
43,44,trouve,find
44,45,premier,first
45,46,première,first
46,47,pouvoir,power
47,48,sois,be
48,49,tiens,here
49,50,matin,morning
50,51,tellement,so much
51,52,point,point
52,53,venu,came
53,54,suite,after
54,55,pardon,sorry
55,56,venez,come
56,57,vers,towards
57,58,minutes,minutes
58,59,demandé,request
59,60,chambre,bedroom
60,61,mis,placed
61,62,belle,beautiful
62,63,droit,law
63,64,aimerais,would like to
64,65,aujourd'hui,today
65,66,enfin,finally
66,67,espère,hope
67,68,eau,water
68,69,attendez,Wait
69,70,parti,left
70,71,nouvelle,new
71,72,boulot,job
72,73,arrêter,Stop
73,74,dirait,would say
74,75,terre,Earth
75,76,compte,account
76,77,donne,given
77,78,loin,far
78,79,croire,believe
79,80,chérie,sweetheart
80,81,gros,large
81,82,plutôt,rather
82,83,aura,will have
83,84,filles,girls
84,85,jouer,to play
85,86,bureau,office
